0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:46:56 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:47:08 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:47:08 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:47:34 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:48:07 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:48:07 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:51:21 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:51:21 +0900] "GET /JS/event/cross.js HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:11:38 +0900] "GET /JS/dom/gallery01.html HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:11:38 +0900] "GET /JS/dom/images/placeholder.gif HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:11:45 +0900] "GET /JS/dom/images/fireworks.jpg HTTP/1.1" 200 30588
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:11:47 +0900] "GET /JS/dom/images/coffee.jpg HTTP/1.1" 200 16277
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:11:50 +0900] "GET /JS/dom/images/rose.jpg HTTP/1.1" 200 39168
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:11:52 +0900] "GET /JS/dom/images/bigben.jpg HTTP/1.1" 200 26250
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:17:32 +0900] "GET /JS/dom/images/fireworks.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:28:25 +0900] "GET /JS/dom/gallery01.html HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:28:25 +0900] "GET /JS/dom/images/placeholder.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:28:29 +0900] "GET /JS/dom/images/fireworks.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:28:30 +0900] "GET /JS/dom/images/coffee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:28:31 +0900] "GET /JS/dom/images/rose.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:28:32 +0900] "GET /JS/dom/images/bigben.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:33:10 +0900] "GET /JS/dom/gallery01.html HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:33:10 +0900] "GET /JS/dom/images/placeholder.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:33:13 +0900] "GET /JS/dom/images/fireworks.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:33:14 +0900] "GET /JS/dom/images/coffee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:33:15 +0900] "GET /JS/dom/images/rose.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:33:16 +0900] "GET /JS/dom/images/bigben.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:33:24 +0900] "GET /JS/dom/gallery01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:12:34:37 +0900] "GET /JS/dom/gallery01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:14:06:22 +0900] "GET /JS/dom/gellery02.html HTTP/1.1" 200 1181
